Ticker,最新价,公司主营,市值,1日涨幅,5日涨幅,20日涨幅,连涨天数,成交量倍数,20日平均成交额,距离52周高点,信号
TBBB,49.2,,,0.1631206063907813,0.20973698003525998,0.22448980560614284,3,6.502889223606737,19441633.291893005,0.0,5日涨幅>20% / 放量大涨 / 20日新高
NOG,24.45,,,0.014943985391087322,0.2056212985751975,0.20088408791640333,1,0.7495660050394463,55902120.16181946,-0.1755765182981951,5日涨幅>20% / 20日新高
NTSK,16.19,,,0.0800534210315027,0.20103865607192017,0.19925929881908266,1,1.2115698172464642,58073894.40591812,-0.3722373028567777,5日涨幅>20% / 20日新高
WK,73.75,,,0.0834435188870386,0.19529982314519612,0.356197104660265,9,1.3723766186554347,47055921.03878021,-0.20962381385029083,连续5天上涨 / 20日新高
BLSH,27.48,,,0.1157125651067632,0.1927082660711501,0.17687362283917207,2,2.488125180271128,32211783.45336914,-0.6317834576768958,放量大涨 / 20日新高
PATH,16.68,,,0.0930537388594781,0.19142859322684158,0.38653372198006886,1,1.3529426860415135,986145040.3085613,-0.13530329116006734,20日新高
CRCL,75.38,,,0.05751962043119363,0.19121363317851103,0.24307384584647163,5,0.9184489603491472,747804928.5990143,-0.4990696478361023,连续5天上涨 / 20日新高
MPC,356.37,,,0.02331656889357503,0.19087717666562232,0.16517897010135507,4,0.9709496671823762,723254309.4818115,0.0,20日新高
VCTR,118.17,,,0.016690998502806087,0.18205458363516636,0.19303376605850775,5,1.0312423529820116,58905223.03829193,0.0,连续5天上涨 / 20日新高
CLYM,14.73,,,0.023627462877118033,0.18123490190958935,0.0620043016418943,2,1.5011968622159293,13540896.261324883,0.0,20日新高
IREN,44.76,,,0.024959931263817126,0.18006849357777166,0.28509893679146625,3,1.4877127225978348,1807140302.912445,-0.41421284941347225,20日新高
ARHS,9.7,,,0.0051813671203522205,0.17861486619589373,0.20797012849663266,2,0.9945817474805159,12641713.66761446,-0.20483057910035163,20日新高
MNTN,12.28,,,0.02761505681784171,0.1773729025566151,0.20866140919274478,8,1.3407480029048657,10999703.173475266,-0.4660869681316874,连续5天上涨 / 20日新高
LUNR,17.56,,,0.03598812245110161,0.17615533201662825,0.3065476201035404,3,2.1208309927733207,135611962.1671009,-0.6157549415145149,20日新高
MWH,32.73,,,0.08773676890198967,0.1752243839829013,0.09979836325646696,2,1.5540582874723547,60542998.21887016,-0.30019244768249187,20日新高
PLSE,44.92,,,0.03693440640333745,0.1746860930249401,0.6406135699708917,1,1.1395493790110347,15628389.128007889,0.0,20日新高
MP,55.66,,,0.02864533763771604,0.17203617351417777,0.22437309653231763,1,0.801875978923951,339168555.0780678,-0.43578308173861713,20日新高
NNE,20.52,,,0.07943188904267862,0.16524700434715167,0.2666666352699829,1,1.5539972782857034,35627110.91328621,-0.637647888562072,20日新高
CLMT,48.79,,,0.03390553793982898,0.1649952165992885,0.1876825399419586,4,0.9306871286406883,58818642.1745491,0.0,20日新高
SENEA,193.9,,,0.029357110594267377,0.16400523331208516,0.14233526347030367,5,0.9672956553755523,18583984.523239136,0.0,连续5天上涨 / 20日新高
DK,68.3,,,0.01606667377926274,0.16374177287295844,0.11312850377636319,4,0.9725915630104285,81021722.91036606,0.0,20日新高
VELO,15.38,,,0.0185430282051382,0.16338878999868345,0.48670852754440896,3,1.2048124403364293,22254883.88721466,-0.49754982660014146,20日新高
NET,330.83,,,0.06222499150955829,0.16313326685408747,0.21423327074724385,2,1.1432981094702164,1129488245.8467102,0.0,20日新高
AAUC,22.89,,,0.016429792378499286,0.1631097070475367,0.04616088974504562,6,0.34122489118755805,21593819.754514694,-0.2849109468946682,连续5天上涨 / 20日新高
